Country Name,Series Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Japan,Forest area (% of land area),JPN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,68.43115743,68.41086122,68.390565,68.37026879,68.34997257,68.32967636,68.32812071,68.30781893,68.28751715,68.26721536,68.24691358,68.27160494,68.2962963,68.32098765,68.34567901,68.37037037,68.39506173,68.41975309,68.44444444,68.4691358,68.49382716,68.48175583,68.4696845,68.45761317,68.44554184,68.43347051,68.42249657,68.40877915,68.40877915,68.40877915,68.40877915,68.40877915,..
China,Forest area (% of land area),CHN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.73800655,16.94954715,17.16108774,17.37262834,17.58416893,17.79572849,18.00728849,18.21882953,18.43037058,18.64191163,18.85347276,19.10496812,19.3564539,19.60793869,19.85942287,20.11090813,20.36239278,20.61387789,20.86536169,21.11684505,21.36832885,21.57462737,21.78092589,21.9872244,22.19352292,22.39982144,22.63049793,22.83070681,23.03091218,23.23111754,23.4313229,23.63152827,..
Russian Federation,Forest area (% of land area),RUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,49.36034704,49.37364779,49.39021068,49.40105187,49.40426402,49.40412793,49.39808074,49.37829247,49.40184991,49.44038194,49.47468949,49.51038522,49.54544561,49.58077733,49.6276507,49.66347433,49.70193816,49.73776369,49.77358921,49.77108397,49.76857873,49.76607349,49.76356825,49.76106301,49.77269955,49.78433608,49.78433608,49.78433608,49.78433608,49.78433608,..
Nigeria,Forest area (% of land area),NGA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.1249053,28.94560097,28.76629665,28.58699233,28.407688,28.22838368,28.04907935,27.86977503,27.6904707,27.51116638,27.33186205,27.15255663,26.97325121,26.79394578,26.61464036,26.43533494,26.25602951,26.07672409,25.89741867,25.71811324,25.53880782,25.3595024,25.18019698,25.00089155,24.82158613,24.64228071,24.46297957,24.28368304,24.1043842,23.92508537,23.74578653,23.5664877,..
Pakistan,Electric power consumption (kWh per capita),PAK,..,..,..,..,..,..,..,..,..,..,..,91.72325576,89.33032889,99.38458402,105.292328,109.06102,105.7653763,107.9348617,119.1747539,136.4986817,131.7100676,141.4378952,151.318145,162.0217361,174.2907023,188.7943471,202.7260925,215.383833,240.0622304,247.6216031,258.7639467,276.1830059,310.3488821,311.4301409,320.0429844,330.2646754,329.8798607,331.549646,312.9654845,322.169567,334.1713118,336.3444574,340.9288436,362.734925,379.1475138,408.7179131,429.4491316,423.9010749,389.6425442,403.154329,408.0029046,399.3399124,396.2694237,426.4343998,419.6845943,..,..,..,..,..,..,..,..
United States,Electric power consumption (kWh per capita),USA,4049.786629,4182.175501,4433.606021,4690.486256,4970.446456,5234.685002,5590.33374,5888.340915,6385.459329,6904.8338,7236.657043,7517.304646,8076.409269,8573.194154,8449.928456,8522.394003,8968.775655,9337.724018,9560.54541,9700.695386,9862.365497,9976.693715,9544.460943,9742.005714,10282.37464,10414.2079,10424.4273,10886.85826,11298.33251,11531.93231,11713.3317,12134.17213,12014.95825,12261.52378,12455.16217,12659.60763,12854.29891,12889.83228,13154.76303,13281.86998,13671.05202,13046.61415,13296.1823,13307.49201,13388.58971,13704.57705,13583.26696,13657.45283,13663.42797,12913.71469,13394.90276,13245.88193,12964.18794,13004.02357,12993.96558,..,..,..,..,..,..,..,..
United Kingdom,Electric power consumption (kWh per capita),GBR,2412.137405,2553.693182,2780.657277,3002.087605,3127.462963,3330.18388,3425.803087,3506.887062,3762.590176,4006.330969,4166.932402,4254.652412,4372.636946,4671.718297,4534.254275,4492.421629,4587.688515,4668.423169,4729.849387,4922.915733,4683.932739,4572.953846,4480.335413,4549.175288,4597.739693,4826.714526,4953.653576,5082.439806,5232.737649,5295.224527,5356.57521,5451.677171,5452.393333,5491.989118,5380.264265,5575.808489,5815.828404,5831.957547,5908.87149,6007.484416,6114.529259,6141.982551,6142.749834,6174.550896,6138.754137,6270.984059,6200.554113,6102.396768,6015.726861,5643.128595,5700.855864,5471.933475,5449.259473,5409.626422,5130.390253,..,..,..,..,..,..,..,..
Japan,Electric power consumption (kWh per capita),JPN,1101.74219,1257.774706,1330.411975,1520.333681,1692.414064,1792.714799,2003.014638,2272.750028,2514.57762,2889.873703,3251.356344,3415.688241,3737.265366,4067.364567,3967.084839,4041.918744,4310.467746,4444.420051,4669.497794,4861.920787,4716.677939,4753.852169,4695.391627,4958.937866,5182.082393,5324.13913,5328.229697,5640.965356,5906.475877,6239.30478,6808.79185,7006.59869,7023.532248,7077.361831,7509.530429,7693.692617,7835.41274,7991.00407,8003.955696,8147.38887,8299.409506,8162.014644,8266.099102,8164.933682,8393.257723,8539.010589,8542.478139,8710.025703,8270.007731,8020.273806,8594.909034,8099.598695,7998.346771,7988.58331,7819.714636,..,..,..,..,..,..,..,..
China,Electric power consumption (kWh per capita),CHN,..,..,..,..,..,..,..,..,..,..,..,151.9893473,163.9119288,175.933737,174.2333537,199.0397154,204.0303647,220.6570531,246.5557723,267.3742654,281.6246873,285.8177757,299.1979219,317.0202578,336.4116413,362.8120719,391.351625,426.5544932,461.7975182,487.373173,510.6198549,548.9537531,604.6936831,662.6370456,727.1073597,770.2802412,821.0808591,852.7406865,870.6172223,913.963448,992.9433847,1076.549121,1194.856295,1379.484632,1585.838782,1782.312153,2039.01466,2325.926769,2446.369055,2612.45662,2943.589954,3295.784868,3466.019539,3757.185088,3905.317598,..,..,..,..,..,..,..,..
Russian Federation,Electric power consumption (kWh per capita),RUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6687.727011,6551.299816,6113.679971,5726.451593,5188.213955,5101.553396,5016.444066,4935.619905,4848.027353,4998.825661,5198.405704,5274.363305,5304.41526,5478.130458,5633.8455,5770.100636,6098.533476,6286.049392,6399.683749,6095.380276,6409.894365,6485.75903,6617.134161,6539.207375,6602.657479,..,..,..,..,..,..,..,..
Nigeria,Electric power consumption (kWh per capita),NGA,..,..,..,..,..,..,..,..,..,..,..,28.80134975,33.00452915,35.6007738,33.12734697,46.15655438,52.02733786,59.72399166,61.25302593,60.33896079,68.49762073,51.08054848,81.93769719,81.80050743,62.14841501,80.43285053,90.84638471,89.30742923,87.18176098,97.1167276,87.07729558,89.58353637,90.03609379,100.8119983,95.41409171,91.28586906,85.68247161,81.76380558,76.72430856,75.49151884,74.1461367,75.1153297,103.8639119,100.9917375,122.3339105,127.8305054,110.3653159,137.0790198,125.4802832,118.8857236,134.3499018,147.7846401,154.172314,140.3110169,142.1292221,..,..,..,..,..,..,..,..
Pakistan,CO2 emissions (metric tons per capita),PAK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.511428117,0.505905993,0.547315236,0.587428024,0.589992015,0.621535222,0.625359557,0.632295558,0.619966416,0.659832693,0.637262087,0.627048268,0.626753894,0.633183139,0.693317063,0.697409169,0.742989902,0.801504378,0.756912388,0.764440548,0.72190976,0.713434273,0.711250897,0.710993637,0.74061942,0.778086203,0.848207169,0.918472672,0.85042708,0.824459652,0.810360216,..,..
